student_id,study_hours,attendance,previous_score,assingment_created,sleep_hours,internet_access,extra_curicular_activities,Parental_control,final_result 
1,4.745071229516849,64.82257904269167,70.22429371500228,-19.805719675604067,6.4337709420383185,0,0,1,fail
2,3.792603548243223,70.41750805419521,69.24985388803499,-10.54985646936872,8.21524296521872,1,1,1,fail
3,4.971532807151039,66.03928408432286,50.952202312917635,-5.87028406292586,6.762175783237218,1,1,1,fail
4,6.284544784612038,76.6562707041918,73.69376332645608,1.4966891092469146,7.108683117661167,1,0,1,pass
5,3.648769937914996,92.95767797192869,42.64875986635073,10.241623266068782,7.860868727965261,0,1,1,pass
6,3.648794564576229,63.43436764288193,55.18723511359507,6.941359433717644,6.929243911781271,0,0,0,fail
7,6.368819223261087,90.01230746652621,35.013682806532884,-11.793247984474855,4.818582570004169,0,0,1,fail
8,5.151152093729364,63.274918914796686,88.37939775444222,-3.717122621656524,8.248705005464258,1,0,0,fail
9,3.295788421097572,62.28559181254674,61.526757590820566,0.7637558870256657,8.505914595898062,0,0,0,fail
10,4.8138400653789475,87.2789192751482,97.50326052224467,-2.622071244464994,4.802660690079469,0,0,0,pass
11,3.3048734607813066,88.82904567011425,77.04424889779243,-2.6929522586829435,5.748050553206155,0,1,1,fail
12,3.301405369644615,87.77114905143982,71.72147320026536,-17.227433246542716,9.428655540982612,1,1,0,fail
13,4.362943407349051,55.26303887672788,56.20658458578501,-11.527341511396404,7.278441614204694,1,0,0,fail
14,1.1300796330133034,68.01073532891924,49.3047494646887,-4.029398491392732,7.004261527924438,1,0,1,fail
15,1.4126232512304506,87.34482888004982,72.84457360845418,-30.932256749451625,6.488339911540516,1,0,1,fail
16,3.156568706138541,75.62312760845842,63.92728986090527,6.406443200098545,5.763156818972039,1,0,0,pass
17,2.480753319498364,58.89460730703804,44.910945267720486,-13.726790997110696,6.76669882923234,1,1,1,fail
18,4.471370998892911,81.87476908688163,42.247123752375224,6.868381332651379,8.169307286998853,0,1,0,pass
19,2.6379638867181834,64.27789111512794,50.61944406284624,5.9891600447091,6.981186448742801,1,1,1,fail
20,1.8815444479970629,100.0,92.31450837899345,-5.436930431123843,7.732340903071657,1,0,1,fail
21,6.198473153382331,98.17262193627388,98.19916877016956,10.005483257015378,9.118848578207876,1,1,1,pass
22,3.6613355492701967,84.06146139533351,68.07483720963364,7.431973449249332,6.303426183464569,0,0,1,pass
23,4.101292307031886,95.4151005715466,67.23414194361932,-3.089614708346406,7.36344988079013,0,0,0,fail
24,1.8628777206798146,75.97187025185072,59.955194422557184,-4.217596151916983,8.205272273122814,1,1,0,fail
25,3.183425913212226,86.48156241562523,50.98271977535747,10.972327856643567,5.880515639840084,1,0,1,pass
26,4.166383884564799,97.16580442953112,85.62768586410866,2.3201383940766416,7.213663393678965,1,0,1,pass
27,2.2735096338665457,78.68248022691469,93.10364590845704,10.446971683681422,9.246789429551633,1,0,1,pass
28,4.563547027518508,71.17219242728575,51.598713712410714,-23.88974074352737,6.591699543448222,0,0,1,fail
29,3.0990419651217924,49.43067062734326,63.75742432363098,0.9848509701946212,8.282015845604548,0,0,1,fail
30,3.562459375310085,73.75299711417759,58.25200548934748,-15.77409086969373,6.830635747348274,1,1,0,fail
31,3.097440081655905,87.35134776843466,58.69641387702534,-0.2578850748676315,9.159504420780388,1,0,1,fail
32,6.778417276763406,89.18450141351444,82.78862383144794,7.138202083458839,5.025438533395474,1,0,1,pass
33,3.9797541628930992,82.56547598577615,45.320576819508176,17.39140145749103,7.077947429212341,0,1,0,pass
34,2.4134336065661497,66.8805135755664,71.9970453640446,-9.38166728437186,5.2253743658249325,0,1,0,fail
35,5.233817368154783,45.347676465786144,75.92357160958798,-5.25704805301983,6.158947820462927,0,1,1,fail
36,2.1687345250434666,67.57177352992898,62.86773239597271,-0.9553290707553754,6.151817457645766,1,0,1,fail
37,4.313295392507133,70.43482693419072,78.3960174048016,-9.745311014618904,6.679652431439375,0,1,1,fail
38,1.0604948141803368,70.30606549214978,67.21477760806175,9.785597287892571,5.574050379165616,0,1,1,pass
39,2.0077209266523544,84.27834535466887,83.25694881734168,-0.7009454536562352,6.913912530928585,0,0,1,fail
40,4.295291853803685,100.0,42.166920426112185,1.2195702337604606,7.552559805377413,0,0,1,pass
41,5.107699869993116,76.85293802761639,59.76837108489696,6.201731267741587,5.161716240854121,1,1,0,pass
42,4.257052421784956,71.74902316265307,63.92280285723448,-0.717115163754094,6.238081011964634,1,1,1,fail
43,3.8265275764176394,71.1116728049386,30.0,-8.175391281758651,10.0,1,1,0,fail
44,3.548344456616067,76.86577150361572,48.710708996321976,-0.6302023829846698,7.395084566639018,0,1,1,fail
45,1.7822170144488592,62.57559359477402,52.79601118461821,-8.561813595133891,4.818710554981879,1,1,1,fail
46,2.9202336874079373,76.80297838119083,79.22308992235024,1.0798088911648624,5.319440962288255,1,0,1,pass
47,3.3090418435603186,81.762185044977,54.397349805280996,9.969377208017967,7.271085094447433,0,0,0,pass
48,5.585683339328374,78.14529095361732,52.728815190410344,-11.749782922723318,7.120799246289085,1,0,1,fail
49,4.515427434352692,81.86312901007172,77.26228670984287,-15.323710014420923,6.295068637958944,1,0,1,fail
50,1.3554397669558993,81.50621414022802,40.73134031314918,0.4924993591967409,9.631977948265572,0,1,0,fail
51,4.486125954092192,48.42154976630334,33.93133898834642,-7.677996167439059,10.0,0,0,0,fail
52,3.422376579375525,84.55305237593105,59.5761154989598,0.31745274411968943,6.682739968180332,0,1,0,fail
53,2.984616999541062,64.9347773150632,43.28439847882467,3.204035206097007,8.047548239112086,1,1,0,fail
54,4.917514433261302,58.562412554940636,43.854810580105266,-21.436862289285394,8.107799405585203,1,0,1,fail
55,5.546499283743927,58.433222582175055,73.60150687531973,6.898494276585421,8.267047767373093,1,0,1,pass
56,5.396920178674298,81.50312415708794,78.13960756868869,-11.696685029552489,6.231897613871316,1,0,1,fail
57,2.7411737151660422,71.6613760916272,76.83296323778188,-0.22347950564689917,9.327339060664645,1,0,1,fail
58,3.536181436223178,49.77046824021884,81.6316499046085,-6.593823354384302,6.917683364518709,1,0,0,fail
59,4.496895147105346,82.17056722788425,83.61701480022202,-5.519570147842944,7.506390497230133,1,0,0,fail
60,5.463317690683539,53.40587803801759,33.07114686759604,16.939579396179884,7.0024522122739725,0,1,0,pass
61,3.281238643232065,77.09732037777316,71.756179398942,3.1926752079566105,6.83237659324149,0,0,1,pass
